,Exercise,URL,Picture_A,Picture_B,Muscle,Video,Main Muscle Group,Detailed Muscle Group,Type,Mechanics,Equipment,Difficulty
721,Dumbbell Supine Tricep Extension,https://www.jefit.com/exercises/1178/Dumbbell-Supine-Tricep-Extension,https://www.jefit.com/images/exercises/1080_664/4712.jpg,https://www.jefit.com/images/exercises/1080_664/4713.jpg,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160307198.hd.mp4?s=8ca56d62d080c6979f4a873b816433273b175b20&profile_id=113&oauth2_token_id=435967617,Triceps,,Strength,Isolation,Bench,Intermediate
722,Dumbbell Supine Triceps Extension ,https://www.jefit.com/exercises/54/Dumbbell-Supine-Triceps-Extension-,https://www.jefit.com/images/exercises/1080_664/216.jpg,https://www.jefit.com/images/exercises/1080_664/217.jpg,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160273552.sd.mp4?s=b32dd386d3c8920f4b670659ba2641b4e0b18da6&profile_id=164&oauth2_token_id=435967617,Triceps,Lower Chest,Strength,Isolation,Dumbbell,Intermediate
723,Dumbbell Supine Wide Curl,https://www.jefit.com/exercises/1019/Dumbbell-Supine-Wide-Curl,https://www.jefit.com/images/exercises/1080_664/4076.jpg,https://www.jefit.com/images/exercises/1080_664/4077.jpg,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160306932.sd.mp4?s=1ef26128726595762acec12d9ea2a227fc995d42&profile_id=164&oauth2_token_id=435967617,Biceps,,Strength,Isolation,Bench,Intermediate
724,Dumbbell Tate Press,https://www.jefit.com/exercises/242/Dumbbell-Tate-Press,https://www.jefit.com/images/exercises/1080_664/968.jpg,https://www.jefit.com/images/exercises/1080_664/969.jpg,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160280210.hd.mp4?s=1f9d9c4817053c800f15c81f1ed3951655538bfd&profile_id=113&oauth2_token_id=435967617,Triceps,,Strength,Isolation,Dumbbell,Intermediate
725,Dumbbell Tricep Extension,https://www.jefit.com/exercises/247/Dumbbell-Tricep-Extension,https://www.jefit.com/images/exercises/1080_664/988.jpg,https://www.jefit.com/images/exercises/1080_664/989.jpg,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160280279.hd.mp4?s=c12a1290036f185f731314d14be6058769099ce8&profile_id=113&oauth2_token_id=435967617,Triceps,,Strength,Isolation,Dumbbell,Beginner
726,Dumbbell Tricep Kickback,https://www.jefit.com/exercises/154/Dumbbell-Tricep-Kickback,https://www.jefit.com/images/exercises/1080_664/616.jpg,https://www.jefit.com/images/exercises/1080_664/617.jpg,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160273714.sd.mp4?s=944d7188b0c01948f4cde3b1f1815c604cf07a28&profile_id=165&oauth2_token_id=435967617,Triceps,,Strength,Isolation,Dumbbell,Beginner
727,Dumbbell Tricep Kickback,https://www.jefit.com/exercises/777/Dumbbell-Tricep-Kickback,https://www.jefit.com/images/exercises/1080_664/3108.jpg,https://www.jefit.com/images/exercises/1080_664/3109.jpg,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160305155.sd.mp4?s=35c13692ecc9c3f775f758269a57eacf2bf805bc&profile_id=164&oauth2_token_id=435967617,Triceps,,Strength,Isolation,Dumbbell,Intermediate
728,Dumbbell Tricep Kickback with Stork Stance,https://www.jefit.com/exercises/783/Dumbbell-Tricep-Kickback-with-Stork-Stance,https://www.jefit.com/images/exercises/1080_664/3132.jpg,https://www.jefit.com/images/exercises/1080_664/3133.jpg,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160305166.sd.mp4?s=6870c052291b10aa2c8f780b168c250ec388e6bc&profile_id=164&oauth2_token_id=435967617,Triceps,,Strength,Isolation,Dumbbell,Expert
729,Dumbbell Upright Row,https://www.jefit.com/exercises/43/Dumbbell-Upright-Row,https://www.jefit.com/images/exercises/1080_664/172.jpg,https://www.jefit.com/images/exercises/1080_664/173.jpg,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160273562.sd.mp4?s=7df273a00fca0092e1846c8e75e264eecdcf2794&profile_id=165&oauth2_token_id=435967617,Shoulders,Traps,Strength,Compound,Dumbbell,Intermediate
730,Dumbbell Walking Lunge,https://www.jefit.com/exercises/201/Dumbbell-Walking-Lunge,https://www.jefit.com/images/exercises/1080_664/804.jpg,https://www.jefit.com/images/exercises/1080_664/805.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160273815.hd.mp4?s=85d297a783d4713fa33b5382bd9c3e1ae6324eb7&profile_id=113&oauth2_token_id=435967617,Upper Legs,Hamstrings,Strength,Compound,Dumbbell,Intermediate
731,Dumbbell Wall Squat,https://www.jefit.com/exercises/1203/Dumbbell-Wall-Squat,https://www.jefit.com/images/exercises/1080_664/4812.jpg,https://www.jefit.com/images/exercises/1080_664/4813.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160307236.hd.mp4?s=eb3710ab046e208e6e8031b3a717bccc1e7924e4&profile_id=113&oauth2_token_id=435967617,Upper Legs,,Strength,Isolation,Dumbbell,Beginner
732,Dumbbell Wood Chop,https://www.jefit.com/exercises/743/Dumbbell-Wood-Chop,https://www.jefit.com/images/exercises/1080_664/2972.jpg,https://www.jefit.com/images/exercises/1080_664/2973.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160305022.hd.mp4?s=258c1287dce5effbba15e904a5d7fbddbf0679c4&profile_id=113&oauth2_token_id=435967617,Abs,,Strength,Isolation,Dumbbell,Beginner
733,Dumbbell Zottman Curl,https://www.jefit.com/exercises/276/Dumbbell-Zottman-Curl,https://www.jefit.com/images/exercises/1080_664/1104.jpg,https://www.jefit.com/images/exercises/1080_664/1105.jpg,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160280809.hd.mp4?s=41525eee4d85377298339f9d12fe696be7ed3f39&profile_id=119&oauth2_token_id=435967617,Biceps,,Strength,Isolation,Dumbbell,Intermediate
734,Dynamic Back Stretch,https://www.jefit.com/exercises/814/Dynamic-Back-Stretch,https://www.jefit.com/images/exercises/1080_664/3256.jpg,https://www.jefit.com/images/exercises/1080_664/3257.jpg,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160305213.sd.mp4?s=61ad06ceabb7a330f925ee67f719332a9d013c60&profile_id=165&oauth2_token_id=435967617,Back,,Stretching,N/A,Body Only,Beginner
735,Dynamic Chest Stretch,https://www.jefit.com/exercises/846/Dynamic-Chest-Stretch,https://www.jefit.com/images/exercises/1080_664/3384.jpg,https://www.jefit.com/images/exercises/1080_664/3385.jpg,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160305261.sd.mp4?s=38ebfebd855a9a01dd42068c97d1431bf2910e9e&profile_id=165&oauth2_token_id=435967617,Chest,,Stretching,N/A,Body Only,Beginner
736,Eagle Pose,https://www.jefit.com/exercises/512/Eagle-Pose,https://www.jefit.com/images/exercises/1080_664/2048.jpg,https://www.jefit.com/images/exercises/1080_664/2049.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160296393.hd.mp4?s=bd357dda469ef9c155f6fdc3eaa4465aa8ae48fa&profile_id=113&oauth2_token_id=435967617,Abs,,Stretching,Compound,Body Only,Beginner
737,Elevated Push-Up,https://www.jefit.com/exercises/859/Elevated-Push-Up,https://www.jefit.com/images/exercises/1080_664/3436.jpg,https://www.jefit.com/images/exercises/1080_664/3437.jpg,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160429591.sd.mp4?s=2780415992500012c675d2431d3fa7016f76b6ad&profile_id=164&oauth2_token_id=435967617,Chest,,Strength,Compound,Bench,Intermediate
738,Elliptical Training,https://www.jefit.com/exercises/310/Elliptical-Training,https://www.jefit.com/images/exercises/1080_664/1240.jpg,https://www.jefit.com/images/exercises/1080_664/1240.jpg,https://www.jefit.com/images/exercises/b10.jpg,http://player.vimeo.com/external/160280951.sd.mp4?s=2c8444c0fd5d51e480163fea410aad58c0f61f0c&profile_id=165&oauth2_token_id=435967617,Cardio,,Cardio,Isolation,Machine - Cardio,Beginner
739,Exercise Ball V-Up,https://www.jefit.com/exercises/687/Exercise-Ball-V-Up,https://www.jefit.com/images/exercises/1080_664/2748.jpg,https://www.jefit.com/images/exercises/1080_664/2749.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160304907.sd.mp4?s=795f89a3e3f6334d18f3f7e377487f83b9d64ad1&profile_id=164&oauth2_token_id=435967617,Abs,,Strength,Isolation,Exercise Ball,Intermediate
740,Exercise Band Bicep Curl ,https://www.jefit.com/exercises/283/Exercise-Band-Bicep-Curl-,https://www.jefit.com/images/exercises/1080_664/1132.jpg,https://www.jefit.com/images/exercises/1080_664/1133.jpg,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160280842.hd.mp4?s=4c1ecd3a199838382120adec3e6fe95738aa7ef2&profile_id=113&oauth2_token_id=435967617,Biceps,,Strength,Isolation,Bands,Beginner
741,Exercise Band Calf Raise,https://www.jefit.com/exercises/394/Exercise-Band-Calf-Raise,https://www.jefit.com/images/exercises/1080_664/1576.jpg,https://www.jefit.com/images/exercises/1080_664/1577.jpg,https://www.jefit.com/images/exercises/b9.jpg,http://player.vimeo.com/external/160281115.sd.mp4?s=e60ceec09336a15387288ab9058c54d49d812b40&profile_id=165&oauth2_token_id=435967617,Lower Legs,Calves,Strength,Isolation,Bands,Beginner
742,Exercise Band Good Morning,https://www.jefit.com/exercises/466/Exercise-Band-Good-Morning,https://www.jefit.com/images/exercises/1080_664/1864.jpg,https://www.jefit.com/images/exercises/1080_664/1865.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160296120.sd.mp4?s=de083df40718ecb8a22758025e1b9f2e7f17595b&profile_id=165&oauth2_token_id=435967617,Upper Legs,Hamstrings,Strength,Compound,Bands,Beginner
743,Exercise Band Hip Lift,https://www.jefit.com/exercises/388/Exercise-Band-Hip-Lift,https://www.jefit.com/images/exercises/1080_664/1552.jpg,https://www.jefit.com/images/exercises/1080_664/1553.jpg,https://www.jefit.com/images/exercises/b5.jpg,http://player.vimeo.com/external/160281118.sd.mp4?s=1ca4d5225dcbc44caab07913f5de8646854ddf3d&profile_id=164&oauth2_token_id=435967617,Glutes,Calves,Powerlifting,Compound,Bands,Beginner
744,Exercise Band Lateral Raise,https://www.jefit.com/exercises/422/Exercise-Band-Lateral-Raise,https://www.jefit.com/images/exercises/1080_664/1688.jpg,https://www.jefit.com/images/exercises/1080_664/1689.jpg,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160281217.sd.mp4?s=32977cf239854d45740bb832ef99e505c119e3f8&profile_id=165&oauth2_token_id=435967617,Shoulders,Full,Strength,Isolation,Bands,Beginner
745,Exercise Band Quad Stretch,https://www.jefit.com/exercises/905/Exercise-Band-Quad-Stretch,https://www.jefit.com/images/exercises/1080_664/3620.jpg,https://www.jefit.com/images/exercises/1080_664/3621.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160306276.sd.mp4?s=63adbf8937be39a0a31421c867d6a5afb279ee97&profile_id=164&oauth2_token_id=435967617,Upper Legs,,Stretching,Compound,Bands,Intermediate
746,Exercise Band Reverse Fly,https://www.jefit.com/exercises/397/Exercise-Band-Reverse-Fly,https://www.jefit.com/images/exercises/1080_664/212.jpg,https://www.jefit.com/images/exercises/1080_664/213.jpg,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160273570.hd.mp4?s=45082768229cb81eedc2759df724e1821c297e23&profile_id=113&oauth2_token_id=435967617,Shoulders,Traps,Strength,Compound,Bands,Beginner
747,Exercise Band Row,https://www.jefit.com/exercises/1337/Exercise-Band-Row,https://www.jefit.com/images/exercises/1080_664/5348.jpg,https://www.jefit.com/images/exercises/1080_664/5349.jpg,https://www.jefit.com/images/exercises/b1.jpg,,Back,Delts,Strength,Compound,Bands,Beginner
748,Exercise Band Shoulder Press,https://www.jefit.com/exercises/445/Exercise-Band-Shoulder-Press,https://www.jefit.com/images/exercises/1080_664/1780.jpg,https://www.jefit.com/images/exercises/1080_664/1781.jpg,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160281251.sd.mp4?s=c3e80f2b1e5a9566cbd3cd992072df0456cdcb5a&profile_id=165&oauth2_token_id=435967617,Shoulders,Traps,Strength,Compound,Bands,Beginner
749,Exercise Band Shoulder Press on Stability Ball,https://www.jefit.com/exercises/661/Exercise-Band-Shoulder-Press-on-Stability-Ball,https://www.jefit.com/images/exercises/1080_664/2644.jpg,https://www.jefit.com/images/exercises/1080_664/2645.jpg,https://www.jefit.com/images/exercises/b6.jpg,,Shoulders,,Strength,Isolation,Bands,Intermediate
750,Exercise Band Sit-Up,https://www.jefit.com/exercises/347/Exercise-Band-Sit-Up,https://www.jefit.com/images/exercises/1080_664/1388.jpg,https://www.jefit.com/images/exercises/1080_664/1389.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160280983.sd.mp4?s=18263fe46f84bbb89e7ee139838de8e471b846b1&profile_id=164&oauth2_token_id=435967617,Abs,Lower Abs,Strength,Isolation,Bench,Intermediate
751,Extended Arm Child Pose,https://www.jefit.com/exercises/513/Extended-Arm-Child-Pose,https://www.jefit.com/images/exercises/1080_664/2052.jpg,https://www.jefit.com/images/exercises/1080_664/2053.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160296386.sd.mp4?s=5c2ad932207fe381bf9db69adf7533b0c998bd73&profile_id=164&oauth2_token_id=435967617,Abs,,Stretching,Compound,Body Only,Beginner
752,EZ Bar Close Grip Curl,https://www.jefit.com/exercises/307/EZ-Bar-Close-Grip-Curl,https://www.jefit.com/images/exercises/1080_664/1228.jpg,https://www.jefit.com/images/exercises/1080_664/1229.jpg,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160280859.sd.mp4?s=9ac14eb1aca5174fe6f3eb23c79a8f28293e7f4d&profile_id=164&oauth2_token_id=435967617,Biceps,,Strength,Isolation,EZ Curl Bar,Beginner
753,EZ Bar Close Grip Preacher Curl,https://www.jefit.com/exercises/1299/EZ-Bar-Close-Grip-Preacher-Curl,https://www.jefit.com/images/exercises/1080_664/5196.jpg,https://www.jefit.com/images/exercises/1080_664/5197.jpg,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160307332.sd.mp4?s=5826d947147c192ba6f9b4b1547a08c4c85de72a&profile_id=164&oauth2_token_id=435967617,Biceps,,Strength,Isolation,EZ Curl Bar,Beginner
754,EZ Bar Close Grip Tricep Extension,https://www.jefit.com/exercises/231/EZ-Bar-Close-Grip-Tricep-Extension,https://www.jefit.com/images/exercises/1080_664/924.jpg,https://www.jefit.com/images/exercises/1080_664/925.jpg,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160280178.hd.mp4?s=639f6fce7ac8583ee3cfbd636e1f20bb112b13a0&profile_id=119&oauth2_token_id=435967617,Triceps,,Strength,Isolation,EZ Curl Bar,Intermediate
755,EZ Bar Curl,https://www.jefit.com/exercises/95/EZ-Bar-Curl,https://www.jefit.com/images/exercises/1080_664/380.jpg,https://www.jefit.com/images/exercises/1080_664/381.jpg,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160273641.hd.mp4?s=93d3f7ad3b22dc2343abb2c6c7c37d241e3939e6&profile_id=113&oauth2_token_id=435967617,Biceps,,Strength,Isolation,EZ Curl Bar,Beginner
756,EZ Bar Decline Close Grip Skull Crusher,https://www.jefit.com/exercises/223/EZ-Bar-Decline-Close-Grip-Skull-Crusher,https://www.jefit.com/images/exercises/1080_664/892.jpg,https://www.jefit.com/images/exercises/1080_664/893.jpg,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160273831.sd.mp4?s=dd12f3b34cb8ea8fc9358db3a0c2d5c27b1ae1ad&profile_id=164&oauth2_token_id=435967617,Triceps,,Strength,Isolation,EZ Curl Bar,Intermediate
757,EZ Bar Decline Triceps Extension,https://www.jefit.com/exercises/152/EZ-Bar-Decline-Triceps-Extension,https://www.jefit.com/images/exercises/1080_664/608.jpg,https://www.jefit.com/images/exercises/1080_664/609.jpg,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160273708.sd.mp4?s=6417658d2ce28e32f144cfe414fb49945bb09e78&profile_id=165&oauth2_token_id=435967617,Triceps,,Strength,Isolation,EZ Curl Bar,Intermediate
758,EZ Bar Incline Triceps Extension,https://www.jefit.com/exercises/147/EZ-Bar-Incline-Triceps-Extension,https://www.jefit.com/images/exercises/1080_664/588.jpg,https://www.jefit.com/images/exercises/1080_664/589.jpg,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160273720.sd.mp4?s=ab780e6f8021ffab7f6a1bba016e8e36f6ceea3f&profile_id=165&oauth2_token_id=435967617,Triceps,,Strength,Isolation,EZ Curl Bar,Intermediate
759,EZ Bar Reverse Grip Bent-Over Row,https://www.jefit.com/exercises/1035/EZ-Bar-Reverse-Grip-Bent-Over-Row,https://www.jefit.com/images/exercises/1080_664/4140.jpg,https://www.jefit.com/images/exercises/1080_664/4141.jpg,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160306965.sd.mp4?s=6b52f64d76547efa73ea105ed54054cf52720af2&profile_id=165&oauth2_token_id=435967617,Back,,Strength,Isolation,EZ Curl Bar,Beginner
760,EZ Bar Reverse Grip Curl,https://www.jefit.com/exercises/1074/EZ-Bar-Reverse-Grip-Curl,https://www.jefit.com/images/exercises/1080_664/4296.jpg,https://www.jefit.com/images/exercises/1080_664/4297.jpg,https://www.jefit.com/images/exercises/b4.jpg,http://player.vimeo.com/external/160307029.sd.mp4?s=e89fbc3464f0ebec1c20cc6733ef7d66a2580842&profile_id=165&oauth2_token_id=435967617,Forearm,,Strength,Isolation,EZ Curl Bar,Beginner
761,EZ Bar Reverse Grip French Press,https://www.jefit.com/exercises/1183/EZ-Bar-Reverse-Grip-French-Press,https://www.jefit.com/images/exercises/1080_664/4732.jpg,https://www.jefit.com/images/exercises/1080_664/4733.jpg,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160307202.sd.mp4?s=1cb918f580f6833d2fa8f3e090b893c246a851b2&profile_id=164&oauth2_token_id=435967617,Triceps,,Strength,Isolation,Barbell,Intermediate
762,EZ Bar Reverse Grip Preacher Curl,https://www.jefit.com/exercises/1075/EZ-Bar-Reverse-Grip-Preacher-Curl,https://www.jefit.com/images/exercises/1080_664/4300.jpg,https://www.jefit.com/images/exercises/1080_664/4301.jpg,https://www.jefit.com/images/exercises/b4.jpg,http://player.vimeo.com/external/160307032.sd.mp4?s=d693a1ca0cf60161ebfc3d75f9101e32fa4f512c&profile_id=165&oauth2_token_id=435967617,Forearm,,Strength,Isolation,EZ Curl Bar,Beginner
763,EZ Bar Seated Close Grip Curl,https://www.jefit.com/exercises/268/EZ-Bar-Seated-Close-Grip-Curl,https://www.jefit.com/images/exercises/1080_664/1072.jpg,https://www.jefit.com/images/exercises/1080_664/1073.jpg,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160280802.sd.mp4?s=392b8d989ed162cbdd4b38cd82cea28e19ebc1fc&profile_id=165&oauth2_token_id=435967617,Biceps,Delts,Strength,Isolation,EZ Curl Bar,Beginner
764,EZ Bar Seated Reverse Grip French Press,https://www.jefit.com/exercises/1186/EZ-Bar-Seated-Reverse-Grip-French-Press,https://www.jefit.com/images/exercises/1080_664/4744.jpg,https://www.jefit.com/images/exercises/1080_664/4745.jpg,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160307211.sd.mp4?s=077f3df2b54899fef46e5822ead4280970666924&profile_id=164&oauth2_token_id=435967617,Triceps,,Strength,Isolation,Barbell,Intermediate
765,EZ Bar Standing French Press,https://www.jefit.com/exercises/1316/EZ-Bar-Standing-French-Press,https://www.jefit.com/images/exercises/1080_664/5264.jpg,https://www.jefit.com/images/exercises/1080_664/5265.jpg,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160307395.sd.mp4?s=34feaa011bb195eea068fd52d75a71e09c53bea1&profile_id=164&oauth2_token_id=435967617,Triceps,,Strength,Compound,EZ Curl Bar,Beginner
766,EZ Bar Tricep Extension,https://www.jefit.com/exercises/221/EZ-Bar-Tricep-Extension,https://www.jefit.com/images/exercises/1080_664/884.jpg,https://www.jefit.com/images/exercises/1080_664/885.jpg,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160273835.sd.mp4?s=c28dc1b07eb5c431196898d6fab0d92aac6d7d5d&profile_id=164&oauth2_token_id=435967617,Triceps,Upper Chest,Strength,Isolation,EZ Curl Bar,Intermediate
767,Field Sports,https://www.jefit.com/exercises/311/Field-Sports,https://www.jefit.com/images/exercises/1080_664/1244.jpg,https://www.jefit.com/images/exercises/1080_664/1244.jpg,https://www.jefit.com/images/exercises/b10.jpg,,Cardio,,Cardio,Isolation,Others,Beginner
768,Fish Pose,https://www.jefit.com/exercises/514/Fish-Pose,https://www.jefit.com/images/exercises/1080_664/2056.jpg,https://www.jefit.com/images/exercises/1080_664/2057.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160296591.hd.mp4?s=83e751faf9f76b1836f6181862e7d844b201f27c&profile_id=119&oauth2_token_id=435967617,Abs,,Stretching,Compound,Body Only,Beginner
769,Flutter Kick,https://www.jefit.com/exercises/198/Flutter-Kick,https://www.jefit.com/images/exercises/1080_664/792.jpg,https://www.jefit.com/images/exercises/1080_664/793.jpg,https://www.jefit.com/images/exercises/b5.jpg,http://player.vimeo.com/external/160273783.hd.mp4?s=4c3bc43a77dba437f84cfc67852e9f730dc1c34d&profile_id=113&oauth2_token_id=435967617,Glutes,Hamstrings,Strength,Compound,Body Only,Beginner
770,Forward Step-Up,https://www.jefit.com/exercises/579/Forward-Step-Up,https://www.jefit.com/images/exercises/1080_664/2316.jpg,https://www.jefit.com/images/exercises/1080_664/2317.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160297219.hd.mp4?s=bf543af0d42d6cb42971d2948873ab1cc3e8fecb&profile_id=119&oauth2_token_id=435967617,Upper Legs,,Strength,Compound,Bench,Beginner
771,Frog Sit-Ups,https://www.jefit.com/exercises/69/Frog-Sit-Ups,https://www.jefit.com/images/exercises/1080_664/276.jpg,https://www.jefit.com/images/exercises/1080_664/277.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160273625.sd.mp4?s=682e119c9bbbd23126312da0737cc24bff08d904&profile_id=165&oauth2_token_id=435967617,Abs,Lower Abs,Strength,Isolation,Body Only,Intermediate
772,Gironda Sternum Chin-Up,https://www.jefit.com/exercises/181/Gironda-Sternum-Chin-Up,https://www.jefit.com/images/exercises/1080_664/724.jpg,https://www.jefit.com/images/exercises/1080_664/725.jpg,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160273812.hd.mp4?s=a478900e806345c5e1a2d2dad26f784e68c3ae0c&profile_id=113&oauth2_token_id=435967617,Back,Traps,Strength,Compound,Pullup Bar,Intermediate
773,Glute Kickback ,https://www.jefit.com/exercises/387/Glute-Kickback-,https://www.jefit.com/images/exercises/1080_664/1548.jpg,https://www.jefit.com/images/exercises/1080_664/1549.jpg,https://www.jefit.com/images/exercises/b5.jpg,http://player.vimeo.com/external/160281172.sd.mp4?s=fabdf45ceea1f987ae1861d5ffd92c17c52533b0&profile_id=165&oauth2_token_id=435967617,Glutes,Hamstrings,Strength,Compound,Body Only,Beginner
774,Glute Stretch,https://www.jefit.com/exercises/384/Glute-Stretch,https://www.jefit.com/images/exercises/1080_664/1536.jpg,https://www.jefit.com/images/exercises/1080_664/1537.jpg,https://www.jefit.com/images/exercises/b5.jpg,http://player.vimeo.com/external/160281102.hd.mp4?s=2a65445fd4919cf6dc64d316c51bddc022a3b11d&profile_id=119&oauth2_token_id=435967617,Glutes,Hamstrings,Stretching,N/A,Body Only,Beginner
775,Gorilla Chin-Up with Crunch,https://www.jefit.com/exercises/330/Gorilla-Chin-Up-with-Crunch,https://www.jefit.com/images/exercises/1080_664/1320.jpg,https://www.jefit.com/images/exercises/1080_664/1321.jpg,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160280891.hd.mp4?s=84287ddf6caa5191599095fbbfe22fdd29f84875&profile_id=113&oauth2_token_id=435967617,Back,Lower Abs,Strength,Compound,Pullup Bar,Intermediate
776,Hack Calf Raise,https://www.jefit.com/exercises/1232/Hack-Calf-Raise,https://www.jefit.com/images/exercises/1080_664/4928.jpg,https://www.jefit.com/images/exercises/1080_664/4929.jpg,https://www.jefit.com/images/exercises/b9.jpg,,Lower Legs,,Strength,Isolation,Machine - Strength,Beginner
777,Hack Single-Leg Calf Raise,https://www.jefit.com/exercises/1233/Hack-Single-Leg-Calf-Raise,https://www.jefit.com/images/exercises/1080_664/4932.jpg,https://www.jefit.com/images/exercises/1080_664/4933.jpg,https://www.jefit.com/images/exercises/b9.jpg,,Lower Legs,,Strength,Isolation,Machine - Strength,Intermediate
778,Hack Squat,https://www.jefit.com/exercises/127/Hack-Squat,https://www.jefit.com/images/exercises/1080_664/508.jpg,https://www.jefit.com/images/exercises/1080_664/509.jpg,https://www.jefit.com/images/exercises/b8.jpg,,Upper Legs,Hamstrings,Strength,Compound,Machine - Strength,Beginner
779,Half Locust,https://www.jefit.com/exercises/916/Half-Locust,https://www.jefit.com/images/exercises/1080_664/3664.jpg,https://www.jefit.com/images/exercises/1080_664/3665.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160306319.sd.mp4?s=7b67daa1d69d53443b9c3252b56d57c5befcbe11&profile_id=164&oauth2_token_id=435967617,Upper Legs,,Stretching,N/A,Body Only,Beginner
780,Hammer Grip Pull-Up,https://www.jefit.com/exercises/911/Hammer-Grip-Pull-Up,https://www.jefit.com/images/exercises/1080_664/3644.jpg,https://www.jefit.com/images/exercises/1080_664/3645.jpg,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160306287.sd.mp4?s=c348dec52021d7f1140981619345e9608819f6fe&profile_id=165&oauth2_token_id=435967617,Back,Lats,Strength,Isolation,Pullup Bar,Intermediate
781,Hamstring Stretch,https://www.jefit.com/exercises/899/Hamstring-Stretch,https://www.jefit.com/images/exercises/1080_664/3596.jpg,https://www.jefit.com/images/exercises/1080_664/3597.jpg,https://www.jefit.com/images/exercises/b8.jpg,,Upper Legs,,Stretching,Isolation,Bands,Beginner
782,Hamstring Stretch,https://www.jefit.com/exercises/909/Hamstring-Stretch,https://www.jefit.com/images/exercises/1080_664/3636.jpg,https://www.jefit.com/images/exercises/1080_664/3637.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160306310.sd.mp4?s=30b05186fea822df294ab7433c43d7082192f7fa&profile_id=164&oauth2_token_id=435967617,Upper Legs,,Stretching,Isolation,Body Only,Beginner
783,Handstand Push-Up,https://www.jefit.com/exercises/875/Handstand-Push-Up,https://www.jefit.com/images/exercises/1080_664/3500.jpg,https://www.jefit.com/images/exercises/1080_664/3501.jpg,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160305295.sd.mp4?s=4f79f940f5dd24f2e2deb4d46bb4fdfcb7e978ac&profile_id=165&oauth2_token_id=435967617,Shoulders,,Strength,Compound,Body Only,Expert
